Department_Budget_Record_ID,Budget_Month,Department_ID,Department_Name,Cost_Center_ID,Budgeted_Position_Count,Approved_Salary_and_Benefits_Budget,Recruitment_Budget,Training_and_Development_Budget,Overtime_Budget,Workforce_Contingency_Budget,Total_Approved_People_Budget,Actual_Salary_Cost,Actual_Benefits_Cost,Actual_Recruitment_Cost,Actual_Training_Cost,Actual_Overtime_Cost,Total_Actual_People_Cost,Remaining_People_Budget,Budget_Utilization_Percentage,Budget_Status,Budget_Currency,Data_As_Of_Date
DEPARTMENT-BUDGET-0114,2026-02-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,101105,43000,169826,350473,12346860,7879931,1575986,60671,33403,170166,9720157,2626703,78.73,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0115,2026-03-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,88467,44000,173775,350473,12339171,8063185,1612637,60355,30553,172677,9939407,2399764,80.55,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0116,2026-04-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,101105,43000,169826,350473,12346860,7879931,1575986,31234,28271,142509,9657931,2688929,78.22,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0117,2026-05-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,88467,44000,173775,350473,12339171,8063185,1612637,61130,35060,145527,9917539,2421632,80.37,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0118,2026-06-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,88467,44000,173775,350473,12339171,8063185,1612637,43185,37668,137703,9894378,2444793,80.19,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0119,2026-07-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,75829,45000,177725,350473,12331483,8246439,1649287,61558,35673,207899,10200856,2130627,82.72,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0120,2026-08-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,75829,45000,177725,350473,12331483,8246439,1649287,40418,37954,199963,10174061,2157422,82.5,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0121,2024-09-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,47,6873750,84240,38000,111150,206212,7313352,4446000,889200,56209,33118,113394,5537921,1775431,75.72,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0122,2024-10-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,47,6873750,74880,39000,114075,206212,7307917,4563000,912600,59793,26337,132385,5694115,1613802,77.92,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0123,2024-11-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,47,6873750,65520,40000,117000,206212,7302482,4680000,936000,34774,39966,119345,5810085,1492397,79.56,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0124,2024-12-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,47,6873750,65520,40000,117000,206212,7302482,4680000,936000,20905,27027,116827,5780759,1521723,79.16,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0125,2025-01-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,74880,40000,117000,227448,8040928,5054400,1010880,60991,26850,116735,6269856,1771072,77.97,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0126,2025-02-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,65520,41000,119925,227448,8035493,5180760,1036152,58928,38839,120906,6435585,1599908,80.09,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0127,2025-03-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,74880,40000,117000,227448,8040928,5054400,1010880,58253,30411,130389,6284333,1756595,78.15,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0128,2025-04-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,56160,42000,122850,227448,8030058,5307120,1061424,45205,28918,141917,6584584,1445474,82.0,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0129,2025-05-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,65520,41000,119925,227448,8035493,5180760,1036152,23123,27204,129675,6396914,1638579,79.61,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0130,2025-06-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,74880,40000,117000,227448,8040928,5054400,1010880,47283,36742,87824,6237129,1803799,77.57,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0131,2025-07-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,56160,42000,122850,227448,8030058,5307120,1061424,38459,30651,101379,6539033,1491025,81.43,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0132,2025-08-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,56160,42000,122850,227448,8030058,5307120,1061424,33214,34959,144670,6581387,1448671,81.96,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0133,2025-09-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,56160,42000,122850,227448,8030058,5307120,1061424,45317,31865,124589,6570315,1459743,81.82,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0134,2025-10-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,46800,43000,125775,227448,8024623,5433480,1086696,36348,35979,138603,6731106,1293517,83.88,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0135,2025-11-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,46800,43000,125775,227448,8024623,5433480,1086696,19324,27373,128036,6694909,1329714,83.43,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0136,2025-12-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,48,7581600,46800,43000,125775,227448,8024623,5433480,1086696,35029,32792,131001,6718998,1305625,83.73,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0137,2026-01-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,46800,44000,128700,249385,8781735,5971680,1194336,38194,30982,101948,7337140,1444595,83.55,Within Budget,PKR,2026-01-28
DEPARTMENT-BUDGET-0138,2026-02-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,56160,43000,125775,249385,8787170,5835960,1167192,36901,32798,97992,7170843,1616327,81.61,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0139,2026-03-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,46800,44000,128700,249385,8781735,5971680,1194336,16970,33630,140440,7357056,1424679,83.78,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0140,2026-04-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,46800,44000,128700,249385,8781735,5971680,1194336,24949,27979,97087,7316031,1465704,83.31,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0141,2026-05-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,46800,44000,128700,249385,8781735,5971680,1194336,36049,31499,150738,7384302,1397433,84.09,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0142,2026-06-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,37440,45000,131625,249385,8776300,6107400,1221480,24361,30859,117470,7501570,1274730,85.48,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0143,2026-07-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,37440,45000,131625,249385,8776300,6107400,1221480,29027,33092,145746,7536745,1239555,85.88,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0144,2026-08-01,DEPARTMENT-006,Operations,COST-CENTER-OPS,49,8312850,37440,45000,131625,249385,8776300,6107400,1221480,26675,39047,135534,7530136,1246164,85.8,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0145,2024-09-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,9734222,92785,40000,165688,292026,10324721,6627555,1325511,81604,34084,166419,8235173,2089548,79.76,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0146,2024-10-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,9734222,92785,40000,165688,292026,10324721,6627555,1325511,73225,29082,171364,8226737,2097984,79.68,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0147,2024-11-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,9734222,92785,40000,165688,292026,10324721,6627555,1325511,47827,38513,162411,8201817,2122904,79.44,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0148,2024-12-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,9734222,79530,41000,169831,292026,10316609,6793244,1358648,45328,26889,187158,8411267,1905342,81.53,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0149,2025-01-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,79530,41000,169831,315388,11118709,7336704,1467340,50872,33302,189714,9077932,2040777,81.65,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0150,2025-02-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,79530,41000,169831,315388,11118709,7336704,1467340,64693,31639,181671,9082047,2036662,81.68,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0151,2025-03-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,92785,40000,165688,315388,11126821,7157760,1431552,81267,34194,154349,8859122,2267699,79.62,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0152,2025-04-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,66275,42000,173973,315388,11110596,7515648,1503129,45531,28548,188969,9281825,1828771,83.54,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0153,2025-05-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,66275,42000,173973,315388,11110596,7515648,1503129,55998,28035,162583,9265393,1845203,83.39,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0154,2025-06-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,66275,42000,173973,315388,11110596,7515648,1503129,45894,41238,136602,9242511,1868085,83.19,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0155,2025-07-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,79530,41000,169831,315388,11118709,7336704,1467340,55812,26823,184423,9071102,2047607,81.58,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0156,2025-08-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,66275,42000,173973,315388,11110596,7515648,1503129,58430,41246,179262,9297715,1812881,83.68,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0157,2025-09-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,39765,44000,182257,315388,11094370,7873535,1574707,25966,29254,145639,9649101,1445269,86.97,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0158,2025-10-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,53020,43000,178115,315388,11102483,7694592,1538918,40129,35959,158745,9468343,1634140,85.28,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0159,2025-11-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,53020,43000,178115,315388,11102483,7694592,1538918,32138,28203,186680,9480531,1621952,85.39,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0160,2025-12-01,DEPARTMENT-007,IT,COST-CENTER-IT,47,10512960,39765,44000,182257,315388,11094370,7873535,1574707,29202,30901,148953,9657298,1437072,87.05,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0161,2026-01-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,53020,44000,182257,345958,12157181,8456760,1691352,44985,34900,146553,10374550,1782631,85.34,Within Budget,PKR,2026-01-28
DEPARTMENT-BUDGET-0162,2026-02-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,39765,45000,186400,345958,12149069,8648959,1729791,15888,28603,212825,10636066,1513003,87.55,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0163,2026-03-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,53020,44000,182257,345958,12157181,8456760,1691352,36061,29392,150263,10363828,1793353,85.25,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0164,2026-04-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,39765,45000,186400,345958,12149069,8648959,1729791,16685,28644,158798,10582877,1566192,87.11,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0165,2026-05-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,53020,44000,182257,345958,12157181,8456760,1691352,47535,34424,192961,10423032,1734149,85.74,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0166,2026-06-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,39765,45000,186400,345958,12149069,8648959,1729791,14477,39952,218295,10651474,1497595,87.67,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0167,2026-07-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,39765,45000,186400,345958,12149069,8648959,1729791,31512,31305,193531,10635098,1513971,87.54,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0168,2026-08-01,DEPARTMENT-007,IT,COST-CENTER-IT,48,11531946,39765,45000,186400,345958,12149069,8648959,1729791,26969,29805,196684,10632208,1516861,87.51,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0169,2024-09-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,49,11789944,200188,36000,173240,353698,12553070,6929600,1385920,76382,33212,175138,8600252,3952818,68.51,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0170,2024-10-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,49,11789944,200188,36000,173240,353698,12553070,6929600,1385920,143871,33998,167808,8661197,3891873,69.0,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0171,2024-11-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,49,11789944,215587,35000,168427,353698,12562656,6737111,1347422,113568,33714,134890,8366705,4195951,66.6,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0172,2024-12-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,49,11789944,169390,38000,182864,353698,12533896,7314577,1462915,52947,34603,145108,9010150,3523746,71.89,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0173,2025-01-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,153991,40000,192488,389790,13769269,8315520,1663104,76243,26852,193502,10275221,3494048,74.62,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0174,2025-02-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,169390,39000,187676,389790,13778856,8107632,1621526,78270,27674,173054,10008156,3770700,72.63,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0175,2025-03-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,184789,38000,182864,389790,13788443,7899744,1579948,81413,31246,155446,9747797,4040646,70.7,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0176,2025-04-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,184789,38000,182864,389790,13788443,7899744,1579948,144956,35004,138069,9797721,3990722,71.06,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0177,2025-05-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,169390,39000,187676,389790,13778856,8107632,1621526,65411,29415,183904,10007888,3770968,72.63,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0178,2025-06-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,169390,39000,187676,389790,13778856,8107632,1621526,142090,28024,220839,10120111,3658745,73.45,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0179,2025-07-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,169390,39000,187676,389790,13778856,8107632,1621526,151216,29389,147174,10056937,3721919,72.99,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0180,2025-08-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,169390,39000,187676,389790,13778856,8107632,1621526,142246,37423,170874,10079701,3699155,73.15,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0181,2025-09-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,169390,39000,187676,389790,13778856,8107632,1621526,108328,30942,172019,10040447,3738409,72.87,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0182,2025-10-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,138592,41000,197301,389790,13759683,8523408,1704681,57952,31141,167682,10484864,3274819,76.2,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0183,2025-11-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,153991,40000,192488,389790,13769269,8315520,1663104,112375,26228,198943,10316170,3453099,74.92,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0184,2025-12-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,50,12993000,107793,43000,206925,389790,13740508,8939184,1787836,78415,38385,205417,11049237,2691271,80.41,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0185,2026-01-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,138592,43000,206925,435409,15337588,9601345,1920269,120595,28761,222820,11893790,3443798,77.55,Within Budget,PKR,2026-01-28
DEPARTMENT-BUDGET-0186,2026-02-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,138592,43000,206925,435409,15337588,9601345,1920269,85527,38786,167492,11813419,3524169,77.02,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0187,2026-03-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,138592,43000,206925,435409,15337588,9601345,1920269,55560,34337,215712,11827223,3510365,77.11,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0188,2026-04-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,153991,42000,202113,435409,15347175,9378058,1875611,64880,27085,177612,11523246,3823929,75.08,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0189,2026-05-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,123192,44000,211737,435409,15328000,9824632,1964926,42351,34081,226196,12092186,3235814,78.89,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0190,2026-06-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,123192,44000,211737,435409,15328000,9824632,1964926,55755,26569,253809,12125691,3202309,79.11,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0191,2026-07-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,92394,46000,221362,435409,15308827,10271207,2054241,50503,33855,226508,12636314,2672513,82.54,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0192,2026-08-01,DEPARTMENT-008,Medical Care,COST-CENTER-MED,52,14513662,107793,45000,216550,435409,15318414,10047920,2009584,67448,37184,201130,12363266,2955148,80.71,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0193,2024-09-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,45,9015000,25642,43000,172286,270450,9526378,6891466,1378293,15120,28107,204694,8517680,1008698,89.41,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0194,2024-10-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,45,9015000,51285,41000,164273,270450,9542008,6570933,1314186,25315,30654,160335,8101423,1440585,84.9,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0195,2024-11-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,45,9015000,51285,41000,164273,270450,9542008,6570933,1314186,28626,29502,145919,8089166,1452842,84.77,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0196,2024-12-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,45,9015000,38464,42000,168280,270450,9534194,6731200,1346240,28877,29272,199910,8335499,1198695,87.43,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0197,2025-01-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,38464,43000,172286,298576,10504886,7442784,1488556,21885,34095,171231,9158551,1346335,87.18,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0198,2025-02-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,25642,44000,176293,298576,10497071,7615872,1523174,16887,30058,177641,9363632,1133439,89.2,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0199,2025-03-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,12821,45000,180300,298576,10489257,7788960,1557792,5542,31971,205559,9589824,899433,91.43,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0200,2025-04-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,51285,42000,168280,298576,10512701,7269696,1453939,32420,26121,149081,8931257,1581444,84.96,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0201,2025-05-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,51285,42000,168280,298576,10512701,7269696,1453939,22459,35721,129777,8911592,1601109,84.77,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0202,2025-06-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,38464,43000,172286,298576,10504886,7442784,1488556,22996,29889,203404,9187629,1317257,87.46,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0203,2025-07-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,38464,43000,172286,298576,10504886,7442784,1488556,17037,39374,195683,9183434,1321452,87.42,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0204,2025-08-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,12821,45000,180300,298576,10489257,7788960,1557792,5373,38362,141681,9532168,957089,90.88,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0205,2025-09-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,25642,44000,176293,298576,10497071,7615872,1523174,16976,42909,155764,9354695,1142376,89.12,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0206,2025-10-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,25642,44000,176293,298576,10497071,7615872,1523174,16317,27344,207063,9389770,1107301,89.45,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0207,2025-11-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,38464,43000,172286,298576,10504886,7442784,1488556,13068,39023,197432,9180863,1324023,87.4,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0208,2025-12-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,46,9952560,25642,44000,176293,298576,10497071,7615872,1523174,13269,39114,194190,9385619,1111452,89.41,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0209,2026-01-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,38464,44000,176293,327665,11508595,8180010,1636002,17899,41321,169431,10044663,1463932,87.28,Within Budget,PKR,2026-01-28
DEPARTMENT-BUDGET-0210,2026-02-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,12821,46000,184306,327665,11492965,8551829,1710365,11268,41103,169913,10484478,1008487,91.23,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0211,2026-03-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,12821,46000,184306,327665,11492965,8551829,1710365,5686,37428,148784,10454092,1038873,90.96,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0212,2026-04-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,38464,44000,176293,327665,11508595,8180010,1636002,18036,38497,161450,10033995,1474600,87.19,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0213,2026-05-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,38464,44000,176293,327665,11508595,8180010,1636002,33625,27498,168292,10045427,1463168,87.29,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0214,2026-06-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,38464,44000,176293,327665,11508595,8180010,1636002,21433,31724,173079,10042248,1466347,87.26,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0215,2026-07-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,12821,46000,184306,327665,11492965,8551829,1710365,7037,28866,180573,10478670,1014295,91.17,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0216,2026-08-01,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,47,10922173,25642,45000,180300,327665,11500780,8365919,1673183,8531,44929,180558,10273120,1227660,89.33,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0217,2024-09-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,7548444,10979,43000,147537,226453,7976413,5901511,1180302,8287,28846,170546,7289492,686921,91.39,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0218,2024-10-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,7548444,21959,42000,144106,226453,7982962,5764266,1152853,18874,40255,149316,7125564,857398,89.26,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0219,2024-11-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,7548444,0,44000,150968,226453,7969865,6038755,1207751,0,32322,169007,7447835,522030,93.45,Watch,PKR,2024-11-28
DEPARTMENT-BUDGET-0220,2024-12-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,7548444,10979,43000,147537,226453,7976413,5901511,1180302,4297,32694,129607,7248411,728002,90.87,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0221,2025-01-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,8152320,0,44000,150968,244569,8591857,6521856,1304371,0,29604,147357,8003188,588669,93.15,Watch,PKR,2025-01-28
DEPARTMENT-BUDGET-0222,2025-02-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,8152320,10979,43000,147537,244569,8598405,6373632,1274726,8381,36200,128063,7821002,777403,90.96,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0223,2025-03-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,8152320,0,44000,150968,244569,8591857,6521856,1304371,0,35247,157698,8019172,572685,93.33,Watch,PKR,2025-03-28
DEPARTMENT-BUDGET-0224,2025-04-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,8152320,0,45000,154400,244569,8596289,6670080,1334016,0,31280,134125,8169501,426788,95.04,Watch,PKR,2025-04-28
DEPARTMENT-BUDGET-0225,2025-05-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,8152320,0,44000,150968,244569,8591857,6521856,1304371,0,34025,166623,8026875,564982,93.42,Watch,PKR,2025-05-28
DEPARTMENT-BUDGET-0226,2025-06-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,8152320,0,45000,154400,244569,8596289,6670080,1334016,0,36237,136043,8176376,419913,95.12,Watch,PKR,2025-06-28
DEPARTMENT-BUDGET-0227,2025-07-01,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,44,8152320,10979,43000,147537,244569,8598405,6373632,1274726,4070,38013,152940,7843381,755024,91.22,Within Budget,PKR,2025-07-28
