Position_Budget_ID,Fiscal_Year,Position_ID,Position_Title,Department_ID,Department_Name,Cost_Center_ID,Approved_Position,Budgeted_Position,Position_Status,Full_Time_Equivalent_Capacity,Annual_Salary_Budget,Annual_Benefits_Budget,Annual_Employer_Tax_and_Contribution_Budget,Annual_Recruitment_Budget,Annual_Training_Budget,Total_Annual_Position_Cost_Budget,Budget_Start_Date,Budget_End_Date,Budget_Status,Budget_Currency,Data_As_Of_Date
POSITION-BUDGET-0113,2026,POS-113,IT Support Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0114,2026,POS-114,HR Generalist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0115,2026,POS-115,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0116,2026,POS-116,Software Engineer I,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0117,2026,POS-117,Software Engineer I,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0118,2026,POS-118,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0119,2026,POS-119,Support Team Lead,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0120,2026,POS-120,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0121,2026,POS-121,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0122,2026,POS-122,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0123,2026,POS-123,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0124,2026,POS-124,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0125,2026,POS-125,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0126,2026,POS-126,Support Team Lead,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0127,2026,POS-127,HR Generalist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0128,2026,POS-128,Customer Support Manager,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,3856000,771200,308480,0,69408,5005088,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0129,2026,POS-129,Engineering Lead,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,5670000,1134000,453600,0,102059,7359659,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0130,2026,POS-130,Senior HR Specialist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0131,2026,POS-131,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0132,2026,POS-132,IT Support Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0133,2026,POS-133,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0134,2026,POS-134,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0135,2026,POS-135,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0136,2026,POS-136,HR Generalist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0137,2026,POS-137,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0138,2026,POS-138,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0139,2026,POS-139,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0140,2026,POS-140,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0141,2026,POS-141,Operations Manager,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,4082000,816400,326560,0,73476,5298436,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0142,2026,POS-142,Engineering Lead,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,5670000,1134000,453600,0,102059,7359659,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0143,2026,POS-143,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0144,2026,POS-144,Customer Support Manager,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,3856000,771200,308480,0,69408,5005088,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0145,2026,POS-145,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0146,2026,POS-146,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0147,2026,POS-147,Customer Support Manager,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,3856000,771200,308480,0,69408,5005088,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0148,2026,POS-148,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0149,2026,POS-149,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0150,2026,POS-150,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0151,2026,POS-151,Software Engineer I,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0152,2026,POS-152,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0153,2026,POS-153,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0154,2026,POS-154,Software Engineer I,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0155,2026,POS-155,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0156,2026,POS-156,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0157,2026,POS-157,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0158,2026,POS-158,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0159,2026,POS-159,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0160,2026,POS-160,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0161,2026,POS-161,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0162,2026,POS-162,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0163,2026,POS-163,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0164,2026,POS-164,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0165,2026,POS-165,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0166,2026,POS-166,Sales Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,4763000,952600,381040,0,85734,6182374,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0167,2026,POS-167,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0168,2026,POS-168,Support Team Lead,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0169,2026,POS-169,IT Operations Manager,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0170,2026,POS-170,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0171,2026,POS-171,IT Operations Manager,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0172,2026,POS-172,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0173,2026,POS-173,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0174,2026,POS-174,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0175,2026,POS-175,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0176,2026,POS-176,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0177,2026,POS-177,HR Generalist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0178,2026,POS-178,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0179,2026,POS-179,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0180,2026,POS-180,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0181,2026,POS-181,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0182,2026,POS-182,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0183,2026,POS-183,IT Support Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0184,2026,POS-184,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0185,2026,POS-185,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0186,2026,POS-186,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0187,2026,POS-187,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0188,2026,POS-188,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0189,2026,POS-189,Engineering Lead,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,5670000,1134000,453600,0,102059,7359659,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0190,2026,POS-190,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0191,2026,POS-191,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0192,2026,POS-192,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0193,2026,POS-193,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0194,2026,POS-194,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0195,2026,POS-195,Engineering Lead,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,5670000,1134000,453600,0,102059,7359659,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0196,2026,POS-196,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0197,2026,POS-197,HR Manager,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,4536000,907200,362880,0,81648,5887728,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0198,2026,POS-198,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0199,2026,POS-199,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0200,2026,POS-200,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0201,2026,EXEC-HR-HEAD,Head of HR,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,8424000,1684800,673920,0,151632,10934352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0202,2026,EXEC-FIN-HEAD,Head of Finance,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,9266000,1853200,741280,0,166788,12027268,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0203,2026,EXEC-CS-HEAD,Head of Customer Support,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,7160000,1432000,572800,0,128879,9293679,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0204,2026,EXEC-SAL-HEAD,Head of Sales,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,8845000,1769000,707600,0,159210,11480810,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0205,2026,EXEC-ENG-HEAD,Head of Engineering,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,10530000,2106000,842400,0,189540,13667940,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0206,2026,EXEC-OPS-HEAD,Head of Operations,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,7582000,1516400,606560,0,136476,9841436,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0207,2026,EXEC-IT-HEAD,Head of IT,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,9688000,1937600,775040,0,174384,12575024,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0208,2026,POS-201,HR Manager,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,4536000,907200,362880,0,81648,5887728,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0209,2026,POS-202,HR Manager,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,4536000,907200,362880,0,81648,5887728,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0210,2026,POS-203,Senior HR Business Partner,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0211,2026,POS-204,Senior HR Business Partner,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0212,2026,POS-205,Senior HR Business Partner,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0213,2026,POS-206,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0214,2026,POS-207,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0215,2026,POS-208,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0216,2026,POS-209,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0217,2026,POS-210,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0218,2026,POS-211,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0219,2026,POS-212,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0220,2026,POS-213,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0221,2026,POS-214,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0222,2026,POS-215,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0223,2026,POS-216,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0224,2026,POS-217,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0225,2026,POS-218,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
